,"ADRES ","OBIEKT ZABYTKOWY","NR REJESTRU","DATA DECYZJI"
,"Marcin Św. ul. 80/82","Zamek cesarski, ob. CK ""Zamek""","A 213","1979.03.06"
,"Marcin Św. ul. 81 / Al.Niepodległości 12","Ziemstwo Kredytowe, ob. AE i bank ","A 323","1991.09.27"
,"Marcin Św. ul. 87","Ewangelicki Dom Związkowy, ob. Akademia Muzyczna","A 275","1985.01.11"
,"Marcin Św. ul. 90","Collegium Iuridicum UAM","A 223","1979.05.23"
,"Marcinkowskiego Al.  9","Muzeum Narodowe ","A 217","1979.04.09"
,"Marcinkowskiego Al. 15","Kamienica","A 447","1995.12.15"
,"Marcinkowskiego Al. 16 / Św.Marcin 18","Kamienica","A 366","1995.10.15"
,"Marcinkowskiego Al. 20","Kamienica, tzw. pałac Anderschów","A 228","1980.03.20"
,"Marcinkowskiego Al. 29","Ziemstwo Kredytowe, ob. ASP","A 242","1982.12.10"
,"Mariacka ul. 15","Kościół  paraf. pw. NMP Niepokalanie Poczętej","A 358","1992.11.27"
,"Marii Magdaleny św. ul. 14","Siedziba Związku Kobiet ""Ojczyzna"", ob. AM","A 203","1978.11.09"
,"Masztalarska ul.  / 23 Lutego","Baszta obronna","A 002","1966.04.16"
,"Masztalarska ul. 3","Strażnica Straży Pożarnej","A 369","1992.02.21"
,"Masztalarska ul. 5","Baszta obronna  (przy klasztorze Katarzynek)","A 001","1960.02.20"
,"Masztalarska ul. 5","Klasztor Dominikanek (Katarzynek), ob. Salezjanów","A 167","1960.02.20"
,"Masztalarska ul. 5 / Wroniecka 9","Kościół Dominikanek, ob. pw. NMP Wspomożenia Wiernych","A 166","1931.02.25"
,"Matejki ul. 18","Park Wilsona i palmiarnia","A 232","1980.03.14"
,"Matejki ul. 40/41 - Niegolewskich 18","Kamienica","A 462","1999.04.27"
,"Matejki ul. 50","Kamienica","A 371","1992.03.26"
,"Matejki ul. 51","Kamienica","A 372","1992.03.26"
,"Matejki ul. 52","Kamienica","A 373","1992.03.26"
,"Matejki ul. 53","Kamienica","A 374","1992.09.01"
,"Matejki ul. 54","Kamienica","A 375","1992.09.03"
,"Matejki ul. 55","Kamienica","A 376","1993.01.11"
,"Matejki ul. 56","Kamienica","A 377","1993.01.19"
,"Matejki ul. 57","Kamienica","A 378","1993.02.16"
,"Matejki ul. 58","Kamienica","A 379","1992.06.01"
,"Matejki ul. 59","Kamienica","A 380","1993.02.16"
,"Matejki ul. 60","Kamienica","A 381","1993.02.16"
,"Matejki ul. 61 / Grottgera 1","Kamienica","A 382","1993.02.26"
,"Mickiewicza ul.  2","Krajowy Zakład Ubezpieczeń, ob. szpital","A 310","1987.05.08"
,"Mickiewicza ul. 31","Starostwo Powiatowe Poznań-Zachód, ob. przychodnie","A 289","1986.10.21"
,"Mickiewicza ul. 32","Kamienica","A 430","1993.12.09"
,"Mielżyńskiego ul. 18","Kamienica","A 348","1991.11.29"
,"Mielżyńskiego ul. 20","Kamienica","A 349","1992.02.27"
,"Mielżyńskiego ul. 27/29","Towarzystwo Przyjaciół Nauk, ob. PTPN","A 209","1978.12.01"
,"Milczańska ul. 2","Wiatrak typu holenderskiego","A 410","1993.03.09"
,"Młyńska ul.  1 a","Sąd Rejonowy","A 212","1978.11.06"
,"Młyńska ul. 11 a","Królewskie Konsystorium, ob. prokuratura","A 207","1978.11.04"
,"Młyńska ul. 13 /Nowowiejskiego 20","Kamienica z oficynami","A 452","1996.08.29"
,"Mokra ul. 2","Kamienica","A 066","1966.04.23"
,"Mokra ul. 3","Kamienica","A 067","1966.04.23"
,"Mokra ul. 4","Kamienica","A 068","1966.04.23"
,"Mostowa ul.  4/4a","Kamienica","A 422","1994.06.23"
,"Mostowa ul. 16","Kamienica","A 388","1992.07.01"
,"Mostowa ul. 30","Kamienica","A 406","1993.01.15"
,"Niedziałkowskiego ul. 28/29","Dom przy Szpitalu św. Łazarza","A 069","1966.04.23"
,"Niedziałkowskiego ul. 30","Szpital św. Łazarza","A 018","1953.10.10"
,"Niegolewskich ul.  6 /Głogowska 72","Kamienica","A 436","1995.10.27"
,"Niegolewskich ul.  8","Kamienica","A 336","1991.11.25"
,"Niegolewskich ul. 10","Kamienica","A 332","1996.09.25"
,"Niegolewskich ul. 12","Kamienica","A 334","1991.11.25"
,"Niegolewskich ul. 16","Kamienica","A 426","1993.10.01"
,"Niegolewskich ul. 34","Kamienica","A 335","1991.11.28"
,"Niepodległości Al.   8","Dyrekcja Kolei","A 303 ","1987.03.05"
,"Niepodległości Al.  10","Wyższa Szkoła Handlowa, ob. AE","A 226 ","1980.03.20"
,"Niepodległości Al.  26","Dom Akademicki ""Hanka""","A 255","1984.10.22"
,"Niepodległości Al.  41","Gimnazjum  Urszulanek","A 305 ","1987.04.08"
,"Niepodległości Al.  43","Internat gimnazjum Urszulanek","A 306 ","1987.04.08"
,"Nowina ul. ","Cmentarz Jeżycki","A 237","1984.02.09"
,"Ogrodowa ul. 6","Kościół ewang. pw. św. Krzyża","A 474","2002.11.21"
,"Ostrów Tumski ul. ","Katedra pw. śś. Apostołów Piotra i Pawła","A 148","1930.02.14"
,"Ostrów Tumski ul. ","Kolegiata pw. NMP","A 153","1930.02.14"
,"Ostrów Tumski ul.   1","Pałac arcybiskupi","A 026","1960.02.22"
,"Ostrów Tumski ul.   3","Probostwo katedralne","A 061","1960.02.20"
,"Ostrów Tumski ul.   5 a","Kanonia","A 063","1960.02.22"
,"Ostrów Tumski ul.   6","Kanonia ","A 062","1960.02.22"
,"Ostrów Tumski ul.   9","Psałteria","A 176","1931.02.26"
,"Ostrów Tumski ul. 10","Kanonia","A 064","1960.02.22"
,"Ostrów Tumski ul. 11","Kanonia","A 065","1960.02.22"
,"Ostrów Tumski ul. 13","Dom mieszkalny","A 179","1966.05.20"
,"Ożarowska ul. 40","Willa i park","A 315","1989.09.27"
,"Paderewskiego ul.  8","Bazar Poznański ","A 016","1960.02.20"
,"Paderewskiego ul. 10/ Sieroca","Budynek agend miejskich","A 429","1993.09.30"
,"Palacza ul./ Słoneczna 36","Folwark Palaczów - dwór i park, obserwatorium astronomiczne","A 370","1992.12.10"
,"Park Wilsona 1","Pawilon wystawowy, tzw. Hala Betonowa","A 320","1991.09.17"
,"Parkowa ul. 2","Pawilon ""Polska za granicą"" (PWK), ob. biblioteka","A 319","1990.10.12"
,"Podbiałowa ul. 24","Pałac w Radojewie","A 407","1981.12.03"
,"Podbiałowa ul. 24","Park przy pałacu w Radojewie","A 407","1977.05.16"
,"Podgórna ul. ","Park przy Kolegium Jezuickim, ob. Park Chopina","A 028","1966.04.16"
,"Podgórna ul. 6","Kamienica","A 109","1966.04.26"
,"Podlaska ul. ","Kościół paraf. pw. św. Jana Vianney","A 361","1992.03.17"
,"Polna ul. 33","Szpital położniczy i ogród przyszpitalny","A 446","1995.12.15"
,"Polska al. ","Fort VII, ob. muzeum","A 180 ","1964.06.19"
,"Posadzego ul. 2","Dom mieszkalny, ob. muzeum","A 057","1960.02.22"
,"Posadzego ul. 5","Dworek","A 058","1960.02.22"
,"Posadzego ul. 6","Dworek","A 059","1960.02.22"
,"Posadzego ul. 7","Dworek","A 060","1960.02.22"
,"Powstańców Wlkp. ul. 5 - Ratajczaka 1-7 - Kościuszki 42","Zespół koszarowy","A 325","1992.11.19"
,"Poznańska ul. 44","Kamienica","A 362","1992.09.05"
,"Półwiejska ul.  5","Kamienica","A 389","1992.07.22"
,"Półwiejska ul. 22","Kamienica","A 420","1994.07.11"
,"Półwiejska ul. 29","Kamienica","A 404","1993.01.06"
