73176	LIX/1111/VII/2017	2017-12-22	<p>Uchwała Nr LIX/1111/VII/2017 Rady Miasta Poznania z dnia 22-12-2017 w sprawie budżetu Miasta Poznania na 2018 rok.</p>	<ref>{{Uchwała RMP|73176|LIX/1111/VII/2017}}</ref>
73175	LIX/1110/VII/2017	2017-12-22	<p>Uchwała Nr LIX/1110/VII/2017 Rady Miasta Poznania z dnia 22-12-2017 w sprawie wieloletniej prognozy finansowej Miasta Poznania.</p>	<ref>{{Uchwała RMP|73175|LIX/1110/VII/2017}}</ref>
73134	LIX/1109/VII/2017	2017-12-21	<p>Uchwała Nr LIX/1109/VII/2017 Rady Miasta Poznania z dnia 21-12-2017 w sprawie wykazu wydatków, które nie wygasają z upływem 2017 r.</p>	<ref>{{Uchwała RMP|73134|LIX/1109/VII/2017}}</ref>
73117	LIX/1108/VII/2017	2017-12-21	<p>Uchwała Nr LIX/1108/VII/2017 Rady Miasta Poznania z dnia 21-12-2017 w sprawie maksymalnego wynagrodzenia dziennego opiekuna, zasad jego ustalania oraz wysokości opłaty za pobyt dziecka u dziennego opiekuna, a także maksymalnej wysokości opłaty za wyżywienie.</p>	<ref>{{Uchwała RMP|73117|LIX/1108/VII/2017}}</ref>
73116	LIX/1107/VII/2017	2017-12-21	<p>Uchwała Nr LIX/1107/VII/2017 Rady Miasta Poznania z dnia 21-12-2017 w sprawie zatwierdzenia Programu naprawczego Wielospecjalistycznego Szpitala Miejskiego im. J. Strusia z Zakładem Opiekuńczo- Leczniczym w Poznaniu na rok 2018.</p>	<ref>{{Uchwała RMP|73116|LIX/1107/VII/2017}}</ref>
73115	LIX/1106/VII/2017	2017-12-21	<p>Uchwała Nr LIX/1106/VII/2017 Rady Miasta Poznania z dnia 21-12-2017 w sprawie wysokości opłat za usunięcie i przechowywanie statków lub innych obiektów pływających w 2018 r. na obszarach wodnych miasta Poznania.</p>	<ref>{{Uchwała RMP|73115|LIX/1106/VII/2017}}</ref>
73114	LIX/1105/VII/2017	2017-12-21	<p>Uchwała Nr LIX/1105/VII/2017 Rady Miasta Poznania z dnia 21-12-2017 w sprawie ustalenia stawek dotacji przedmiotowych na 2018 rok do usług świadczonych przez Poznańskie Ośrodki Sportu i Rekreacji.</p>	<ref>{{Uchwała RMP|73114|LIX/1105/VII/2017}}</ref>
72519	LVIII/1104/VII/2017	2017-12-07	<p>Uchwała Nr LVIII/1104/VII/2017 Rady Miasta Poznania z dnia 07-12-2017 w sprawie wyrażenia opinii o lokalizacji kasyna gry w Poznaniu przy ul. Wyspiańskiego 26 a, na wniosek Finkorp Sp. z o.o.</p>	<ref>{{Uchwała RMP|72519|LVIII/1104/VII/2017}}</ref>
72518	LVIII/1103/VII/2017	2017-12-07	<p>Uchwała Nr LVIII/1103/VII/2017 Rady Miasta Poznania z dnia 07-12-2017 w sprawie uchwalenia kierunków działania Prezydenta Miasta Poznania polegających na opracowaniu &quot;Polityki dla ludzi młodych Miasta Poznania na lata 2019-2025&quot;</p>	<ref>{{Uchwała RMP|72518|LVIII/1103/VII/2017}}</ref>
72517	LVIII/1102/VII/2017	2017-12-07	<p>Uchwała Nr LVIII/1102/VII/2017 Rady Miasta Poznania z dnia 07-12-2017 w sprawie trybu i sposobu powoływania i odwoływania członków zespołu interdyscyplinarnego do spraw przeciwdziałania przemocy w rodzinie oraz szczegółowych warunków jego funkcjonowania.</p>	<ref>{{Uchwała RMP|72517|LVIII/1102/VII/2017}}</ref>
72516	LVIII/1101/VII/2017	2017-12-07	<p>Uchwała Nr LVIII/1101/VII/2017 Rady Miasta Poznania z dnia 07-12-2017 w sprawie ustanowienia poznańskiego świadczenia żłobkowego.</p>	<ref>{{Uchwała RMP|72516|LVIII/1101/VII/2017}}</ref>
72515	LVIII/1100/VII/2017	2017-12-05	<p>Uchwała Nr LVIII/1100/VII/2017 Rady Miasta Poznania z dnia 05-12-2017 w sprawie przyjęcia regulaminu projektu Karta Seniora - &quot;Poznańska Złota Karta&quot;.</p>	<ref>{{Uchwała RMP|72515|LVIII/1100/VII/2017}}</ref>
72514	LVIII/1099/VII/2017	2017-12-05	<p>Uchwała Nr LVIII/1099/VII/2017 Rady Miasta Poznania z dnia 05-12-2017 w sprawie nadania statutu Poznańskiemu Centrum Świadczeń w Poznaniu.</p>	<ref>{{Uchwała RMP|72514|LVIII/1099/VII/2017}}</ref>
72513	LVIII/1098/VII/2017	2017-12-05	<p>Uchwała Nr LVIII/1098/VII/2017 Rady Miasta Poznania z dnia 05-12-2017 w sprawie skargi B.Z. na bezczynność Prezydenta Miasta Poznania w związku z nieotrzymaniem odpowiedzi na skierowane przez Skarżącego pisma.</p>	<ref>{{Uchwała RMP|72513|LVIII/1098/VII/2017}}</ref>
72539	LVIII/1097/VII/2017	2017-12-05	<p>Uchwała Nr LVIII/1097/VII/2017 Rady Miasta Poznania z dnia 05-12-2017 zmieniająca uchwałę w sprawie utworzenia Zarządu Transportu Miejskiego w Poznaniu oraz upoważnienia dyrektora ZTM do wydawania decyzji z zakresu administracji publicznej.</p>	<ref>{{Uchwała RMP|72539|LVIII/1097/VII/2017}}</ref>
